"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Packet Broker","0","ADDITIONAL_FILTERS","0","0","Update entity","0"
"1","Packet Broker","0","ADDITIONAL_FILTERS","0","0","Delete entity","0"
"1","Packet Broker","0","ADDITIONAL_FILTERS","0","0","Create entity","0"
