"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","[403]FORBIDDEN - Get configured ports list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","21","[403]FORBIDDEN - Get filters list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","FILTERS","",""
"","74","[200]OK - Create mirroring group","Packet Broker","2026-02-09","passed","2026-02-09","Create entity","MIRRORING","",""
"","29","[403]FORBIDDEN - Update ingress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
"","61","[412]PRECONDITION_FAILED - Apply invalid nodes config","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","NODES","",""
"","42","[403]FORBIDDEN - Create selection group by unauthenticated user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","SELECTIONS","",""
"","37","[403]FORBIDDEN - Get possible ports list by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","25","[412]PRECONDITION_FAILED - Update nonexistent ports","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","PORTS","",""
"","24","[200]OK - Get balancing list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","BALANCING","",""
"","25","[412]PRECONDITION_FAILED - Delete nonexistent mirror filter","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","MIRROR_FILTER","",""
"","52","[200]OK - Get psf format list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","PSF_FORMAT","",""
"","25","[200]OK - Get possible ports list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","PORTS","",""
"","40","[200]OK - Update balancing group","Packet Broker","2026-02-09","passed","2026-02-09","Update entity","BALANCING","",""
"","28","[200]OK - Get egress group list","Packet Broker","2026-02-09","passed","2026-02-09","Get entities","EGRESS_GROUPS","",""
"","53","[200]OK - Delete analysis port","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","ANALYSIS_PORTS","",""
"","47","[403]FORBIDDEN - Create egress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","EGRESS_GROUPS","",""
"","19","[412]PRECONDITION_FAILED - Delete port with incorrect body","Packet Broker","2026-02-09","passed","2026-02-09","Delete entity","PORTS","",""
"","40","[403]FORBIDDEN - Upload my custom config to the switch by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","CUSTOM_CONFIG","",""
"","32","[403]FORBIDDEN - Update analysis port by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","ANALYSIS_PORTS","",""
"","45","[403]FORBIDDEN - Create ingress group by unauthorised user","Packet Broker","2026-02-09","passed","2026-02-09","Validate entity","INGRESS_GROUPS","",""
